Cn,Ch,Zy,Py
00483,貶,ㄅㄧㄢˇ,biǎn
00484,卞,ㄅㄧㄢˋ,biàn
00485,汴,ㄅㄧㄢˋ,biàn
00486,忭,ㄅㄧㄢˋ,biàn
00487,抃,ㄅㄧㄢˋ,biàn
00488,苄,ㄅㄧㄢˋ,biàn
00489,弁,(一)ㄅㄧㄢˋ,(一)biàn
00490,閞,ㄅㄧㄢˋ,biàn
00491,鴘,ㄅㄧㄢˋ,biàn
00492,釆,ㄅㄧㄢˋ,biàn
00493,便,(一)ㄅㄧㄢˋ,(一)biàn
00494,緶,(一)ㄅㄧㄢˋ,(一)biàn
00495,遍,(一)（讀音）ㄅㄧㄢˋ,(一)（讀音）biàn
00496,艑,ㄅㄧㄢˋ,biàn
00497,辡,ㄅㄧㄢˋ,biàn
00498,辨,ㄅㄧㄢˋ,biàn
00499,辮,ㄅㄧㄢˋ,biàn
00500,辯,ㄅㄧㄢˋ,biàn
00501,變,ㄅㄧㄢˋ,biàn
00502,汃,(二)ㄅㄧㄣ,(二)bīn
00503,份,(二)ㄅㄧㄣ,(二)bīn
00504,邠,ㄅㄧㄣ,bīn
00505,玢,ㄅㄧㄣ,bīn
00506,彬,ㄅㄧㄣ,bīn
00507,斌,ㄅㄧㄣ,bīn
00508,稟,(二)（又音）ㄅㄧㄣ,(二)（又音）bīn
00509,賓,(一)ㄅㄧㄣ,(一)bīn
00510,儐,(二)ㄅㄧㄣ,(二)bīn
00511,濱,ㄅㄧㄣ,bīn
00512,檳,(一)ㄅㄧㄣ,(一)bīn
00513,蠙,(二)（又音）ㄅㄧㄣ,(二)（又音）bīn
00514,繽,ㄅㄧㄣ,bīn
00515,鑌,ㄅㄧㄣ,bīn
00516,豳,ㄅㄧㄣ,bīn
00517,瀕,(一)ㄅㄧㄣ,(一)bīn
00518,賓,(二)ㄅㄧㄣˋ,(二)bìn
00519,儐,(一)ㄅㄧㄣˋ,(一)bìn
00520,擯,ㄅㄧㄣˋ,bìn
00521,殯,ㄅㄧㄣˋ,bìn
00522,臏,ㄅㄧㄣˋ,bìn
00523,鬢,ㄅㄧㄣˋ,bìn
00524,髕,ㄅㄧㄣˋ,bìn
00525,冫,ㄅㄧㄥ,bīng
00526,并,(二)ㄅㄧㄥ,(二)bīng
00527,屏,(三)ㄅㄧㄥ,(三)bīng
00528,栟,(一)ㄅㄧㄥ,(一)bīng
00529,冰,ㄅㄧㄥ,bīng
00530,兵,ㄅㄧㄥ,bīng
00531,掤,ㄅㄧㄥ,bīng
00532,檳,(二)（又音）ㄅㄧㄥ,(二)（又音）bīng
00533,丙,ㄅㄧㄥˇ,bǐng
00534,怲,ㄅㄧㄥˇ,bǐng
00535,邴,ㄅㄧㄥˇ,bǐng
00536,炳,ㄅㄧㄥˇ,bǐng
00537,柄,(一)ㄅㄧㄥˇ,(一)bǐng
00538,昺,ㄅㄧㄥˇ,bǐng
00539,秉,ㄅㄧㄥˇ,bǐng
00540,屏,(二)ㄅㄧㄥˇ,(二)bǐng
00541,迸,(二)ㄅㄧㄥˇ,(二)bǐng
00542,鉼,ㄅㄧㄥˇ,bǐng
00543,餅,ㄅㄧㄥˇ,bǐng
00544,稟,(一)ㄅㄧㄥˇ,(一)bǐng
00545,鞞,(一)ㄅㄧㄥˇ,(一)bǐng
00546,并,(一)ㄅㄧㄥˋ,(一)bìng
00547,併,ㄅㄧㄥˋ,bìng
00548,偋,ㄅㄧㄥˋ,bìng
00549,摒,ㄅㄧㄥˋ,bìng
00550,並,(一)ㄅㄧㄥˋ,(一)bìng
00551,柄,(二)（又音）ㄅㄧㄥˋ,(二)（又音）bìng
00552,病,ㄅㄧㄥˋ,bìng
00553,寎,ㄅㄧㄥˋ,bìng
00554,逋,ㄅㄨ,bū
00555,晡,ㄅㄨ,bū
00556,餔,(一)ㄅㄨ,(一)bū
00557,轐,ㄅㄨˊ,bú
00558,醭,(一)ㄅㄨˊ,(一)bú
00559,卜,ㄅㄨˇ,bǔ
00560,鳪,ㄅㄨˇ,bǔ
00561,埔,(二)（又音）ㄅㄨˇ,(二)（又音）bǔ
00562,捕,(一)ㄅㄨˇ,(一)bǔ
00563,哺,(一)ㄅㄨˇ,(一)bǔ
00564,補,ㄅㄨˇ,bǔ
00565,不,(一)ㄅㄨˋ,(一)bù
00566,布,ㄅㄨˋ,bù
00567,佈,ㄅㄨˋ,bù
00568,怖,ㄅㄨˋ,bù
00569,鈽,ㄅㄨˋ,bù
00570,步,ㄅㄨˋ,bù
00571,捕,(二)（又音）ㄅㄨˋ,(二)（又音）bù
00572,哺,(二)（又音）ㄅㄨˋ,(二)（又音）bù
00573,餔,(二)ㄅㄨˋ,(二)bù
00574,簿,(一)ㄅㄨˋ,(一)bù
00575,部,ㄅㄨˋ,bù
00576,蔀,ㄅㄨˋ,bù
00577,篰,ㄅㄨˋ,bù
00578,埠,(一)ㄅㄨˋ,(一)bù
00579,拍,(三)ㄆㄚ,(三)pā
00580,&3577_.png;,(一)ㄆㄚ,(一)pā
00581,啪,(一)ㄆㄚ,(一)pā
00582,趴,ㄆㄚ,pā
